Art Venere,art@venere.org,256.6239438
Lenna Paprocki,lpaprocki@hotmail.com,259.6887831
Donette Foller,donette.foller@cox.net,282.3297984
Simona Morasca,simona@morasca.com,139.5191165
Dominque Dickerson,dominque.dickerson@dickerson.org,167.0451976
Leota Dilliard,leota@hotmail.com,253.6463352
Sage Wieser,sage_wieser@cox.net,155.5557682
Kris Cho,kris@gmail.com,210.7942778
Minna Amigon,minna_amigon@yahoo.com,95.47955397
Abel Maclead,amaclead@gmail.com,225.7744774
Kiley Caldarera,kiley.caldarera@aol.com,172.9576289
Graciela Ruta,gruta@cox.net,202.6836478
Josephine Darakjy,josephine_darakjy@darakjy.org,178.8778402
Cammy Albares,calbares@gmail.com,290.4465134
Mattie Poquette,mattie@aol.com,283.2399522
Meaghan Garufi,meaghan@hotmail.com,227.1429162
Gladys Rim,gladys.rim@rim.org,243.4596357
Yuki Whobrey,yuki_whobrey@aol.com,128.3217173
Fletcher Flosi,fletcher.flosi@yahoo.com,221.3941416
